time,ton,thrust,mfr,vl,anomaly_code
2021-08-22 20:00:00.000,0,0.0021909846614412,0.0,0.0,
2021-08-22 20:00:00.010,0,0.0003111628436871,0.0,1.0,
2021-08-22 20:00:00.020,0,0.000355677985219,0.0,1.0,
2021-08-22 20:00:00.030,0,-0.0037121789596829,0.0,1.0,
2021-08-22 20:00:00.040,0,-0.0013123342072794,0.0,1.0,
2021-08-22 20:00:00.050,0,0.0028113605612946,0.0,1.0,
2021-08-22 20:00:00.060,0,0.0012694285027643,0.0,1.0,
2021-08-22 20:00:00.070,0,-0.0035177469894272,0.0,1.0,
2021-08-22 20:00:00.080,0,-0.0011835716969217,0.0,1.0,
2021-08-22 20:00:00.090,0,-0.0007296332359948,0.0,1.0,
2021-08-22 20:00:00.100,0,0.0048809254745181,0.0,1.0,
2021-08-22 20:00:00.110,0,-0.0010386853060499,0.0,1.0,
2021-08-22 20:00:00.120,0,-0.0001271108998508,0.0,1.0,
2021-08-22 20:00:00.130,0,-0.0033073649464354,0.0,1.0,
2021-08-22 20:00:00.140,0,0.0030280825852409,0.0,1.0,
2021-08-22 20:00:00.150,0,0.0007131437747461,0.0,1.0,
2021-08-22 20:00:00.160,0,-0.004611002918785999,0.0,0.0,
2021-08-22 20:00:00.170,0,-0.0017517512061776,0.0,0.0,
2021-08-22 20:00:00.180,0,-0.0003615578624639,0.0,0.0,
2021-08-22 20:00:00.190,0,-0.0004664302191996,0.0,0.0,
2021-08-22 20:00:00.200,0,-0.00505630496036,0.0,0.0,
2021-08-22 20:00:00.210,0,-0.0017942496943605,0.0,0.0,
2021-08-22 20:00:00.220,0,-0.0047221296278404,0.0,0.0,
2021-08-22 20:00:00.230,0,-0.0015190265621567,0.0,0.0,
2021-08-22 20:00:00.240,0,-0.0008967000546907,0.0,0.0,
2021-08-22 20:00:00.250,0,-0.0044709763461706,0.0,0.0,
2021-08-22 20:00:00.260,0,0.0007540080156774,0.0,0.0,
2021-08-22 20:00:00.270,0,0.0021050626258304,0.0,0.0,
2021-08-22 20:00:00.280,0,-0.0043476650199401,0.0,0.0,
2021-08-22 20:00:00.290,0,-0.0060877286020833,0.0,0.0,
2021-08-22 20:00:00.300,0,-0.0002959097318015,0.0,0.0,
2021-08-22 20:00:00.310,0,0.0059820576239482,0.0,0.0,
2021-08-22 20:00:00.320,0,-0.003642840913825,0.0,0.0,
2021-08-22 20:00:00.330,0,0.0024159581948129,0.0,0.0,
2021-08-22 20:00:00.340,0,0.0005978662570239,0.0,0.0,
2021-08-22 20:00:00.350,0,0.0011442081864716,0.0,0.0,
2021-08-22 20:00:00.360,0,0.0008523321986536,0.0,0.0,
2021-08-22 20:00:00.370,0,0.0026422224001671,0.0,0.0,
2021-08-22 20:00:00.380,0,-0.0009293072978685,0.0,0.0,
2021-08-22 20:00:00.390,0,0.0020745713660865,0.0,0.0,
2021-08-22 20:00:00.400,0,0.0013749001027072,0.0,0.0,
2021-08-22 20:00:00.410,0,-0.0052629460182618,0.0,0.0,
2021-08-22 20:00:00.420,0,-0.0012832284034848,0.0,0.0,
2021-08-22 20:00:00.430,0,-0.0001980581868701,0.0,0.0,
2021-08-22 20:00:00.440,0,0.0008685176745478,0.0,0.0,
2021-08-22 20:00:00.450,0,-0.0009931024312995,0.0,0.0,
2021-08-22 20:00:00.460,0,0.0045233777020914,0.0,0.0,
2021-08-22 20:00:00.470,0,-0.0004003402291155,0.0,0.0,
2021-08-22 20:00:00.480,0,0.0047146998572793,0.0,0.0,
2021-08-22 20:00:00.490,0,0.0014279167151352,0.0,0.0,
2021-08-22 20:00:00.500,0,-0.0041020327587336,0.0,0.0,
2021-08-22 20:00:00.510,0,0.0039054923501911,0.0,0.0,
2021-08-22 20:00:00.520,0,0.0022293888487717,0.0,0.0,
2021-08-22 20:00:00.530,0,0.0001156521920031,0.0,0.0,
2021-08-22 20:00:00.540,0,-0.003079981605637,0.0,0.0,
2021-08-22 20:00:00.550,0,0.0039317734362649,0.0,0.0,
2021-08-22 20:00:00.560,0,-0.0004953052635373,0.0,0.0,
2021-08-22 20:00:00.570,0,0.004102475501542,0.0,0.0,
2021-08-22 20:00:00.580,0,-0.0016257216387582,0.0,0.0,
2021-08-22 20:00:00.590,0,0.0066474586425099,0.0,0.0,
2021-08-22 20:00:00.600,0,0.0006397620350567,0.0,0.0,
2021-08-22 20:00:00.610,0,-0.0014083160712002,0.0,0.0,
2021-08-22 20:00:00.620,0,0.00075911417149,0.0,0.0,
2021-08-22 20:00:00.630,0,0.0036707824306297,0.0,0.0,
2021-08-22 20:00:00.640,0,0.0001090443019122,0.0,0.0,
2021-08-22 20:00:00.650,0,-0.0028758705134184,0.0,0.0,
2021-08-22 20:00:00.660,0,0.004510962737797,0.0,0.0,
2021-08-22 20:00:00.670,0,0.001483796252364,0.0,0.0,
2021-08-22 20:00:00.680,0,0.0032977860885938,0.0,0.0,
2021-08-22 20:00:00.690,0,0.0026725209895801,0.0,0.0,
2021-08-22 20:00:00.700,0,0.000325971038747,0.0,0.0,
2021-08-22 20:00:00.710,0,-0.0031022305857128,0.0,0.0,
